source_id,licence,collection_status,processed,training_compatible,decision
prov_about,CC-BY-4.0,ok,true,true,include
vhd_introduction,OGL-AU,ok,true,true,include
wiki_architecture_melbourne,CC-BY-SA-4.0,ok,true,true,include
wiki_bourke_street,CC-BY-SA-4.0,ok,true,true,include
wiki_carlton_suburb,CC-BY-SA-4.0,ok,true,true,include
wiki_collingwood_suburb,CC-BY-SA-4.0,ok,true,true,include
wiki_collins_street,CC-BY-SA-4.0,ok,true,true,include
wiki_eastern_market_melbourne,CC-BY-SA-4.0,ok,true,true,include
wiki_federation_square,CC-BY-SA-4.0,ok,true,true,include
wiki_fitzroy_suburb,CC-BY-SA-4.0,ok,true,true,include
wiki_flinders_street_station,CC-BY-SA-4.0,ok,true,true,include
wiki_hotel_windsor,CC-BY-SA-4.0,ok,true,true,include
wiki_melbourne_gaol,CC-BY-SA-4.0,ok,true,true,include
wiki_melbournes_past,CC-BY-SA-4.0,ok,true,true,include
wiki_moomba,CC-BY-SA-4.0,ok,false,true,exclude_unusable
wiki_north_melbourne_suburb,CC-BY-SA-4.0,ok,true,true,include
wiki_port_melbourne,CC-BY-SA-4.0,ok,true,true,include
wiki_princes_bridge,CC-BY-SA-4.0,ok,true,true,include
wiki_richmond_suburb,CC-BY-SA-4.0,ok,true,true,include
wiki_royal_exhibition_building,CC-BY-SA-4.0,ok,true,true,include
wiki_south_melbourne_market,CC-BY-SA-4.0,ok,true,true,include
wiki_spencer_street,CC-BY-SA-4.0,ok,true,true,include
wiki_swanston_street,CC-BY-SA-4.0,ok,true,true,include
wiki_victoria_market_heritage,CC-BY-SA-4.0,ok,true,true,include
wiki_young_and_jacksons,CC-BY-SA-4.0,ok,true,true,include
